"industry","previous_year","current_year","yoy"
"Automotive",2021,2022,"0"
"Automotive",2020,2021,"0"
"Automotive",2019,2020,"0"
"Automotive",2018,2019,"0"
"Automotive",2017,2018,"0"
"Automotive",2016,2017,"0"
"Automotive",2015,2016,"0"
"Automotive",2014,2015,"0"
"Automotive",2013,2014,"0"
"Automotive",2012,2013,"0"
"Automotive",2011,2012,"0"
"Automotive",2010,2011,"0"
"Fashion & Accessories",2021,2022,"0"
"Fashion & Accessories",2020,2021,"0"
"Fashion & Accessories",2019,2020,"0"
"Fashion & Accessories",2018,2019,"0"
"Fashion & Accessories",2017,2018,"0"
"Fashion & Accessories",2016,2017,"0"
"Fashion & Accessories",2015,2016,"0"
"Fashion & Accessories",2014,2015,"0"
"Fashion & Accessories",2013,2014,"0"
"Fashion & Accessories",2012,2013,"0"
"Fashion & Accessories",2011,2012,"0"
"Fashion & Accessories",2010,2011,"0"
"Food & Beverage",2021,2022,"0"
"Food & Beverage",2020,2021,"0"
"Food & Beverage",2019,2020,"0"
"Food & Beverage",2018,2019,"0"
"Food & Beverage",2017,2018,"0"
"Food & Beverage",2016,2017,"0"
"Food & Beverage",2015,2016,"0"
"Food & Beverage",2014,2015,"0"
"Food & Beverage",2013,2014,"0"
"Food & Beverage",2012,2013,"0"
"Food & Beverage",2011,2012,"0"
"Food & Beverage",2010,2011,"0"
"Fuel & Gasoline",2021,2022,"0"
"Fuel & Gasoline",2020,2021,"0"
"Fuel & Gasoline",2019,2020,"0"
"Fuel & Gasoline",2018,2019,"0"
"Fuel & Gasoline",2017,2018,"0"
"Fuel & Gasoline",2016,2017,"0"
"Fuel & Gasoline",2015,2016,"0"
"Fuel & Gasoline",2014,2015,"0"
"Fuel & Gasoline",2013,2014,"0"
"Fuel & Gasoline",2012,2013,"0"
"Fuel & Gasoline",2011,2012,"0"
"Fuel & Gasoline",2010,2011,"0"
"General Merchandise",2021,2022,"0"
"General Merchandise",2020,2021,"0"
"General Merchandise",2019,2020,"0"
"General Merchandise",2018,2019,"0"
"General Merchandise",2017,2018,"0"
"General Merchandise",2016,2017,"0"
"General Merchandise",2015,2016,"0"
"General Merchandise",2014,2015,"0"
"General Merchandise",2013,2014,"0"
"General Merchandise",2012,2013,"0"
"General Merchandise",2011,2012,"0"
"General Merchandise",2010,2011,"0"
"Health & Personal Care",2021,2022,"0"
"Health & Personal Care",2020,2021,"0"
"Health & Personal Care",2019,2020,"0"
"Health & Personal Care",2018,2019,"0"
"Health & Personal Care",2017,2018,"0"
"Health & Personal Care",2016,2017,"0"
"Health & Personal Care",2015,2016,"0"
"Health & Personal Care",2014,2015,"0"
"Health & Personal Care",2013,2014,"0"
"Health & Personal Care",2012,2013,"0"
"Health & Personal Care",2011,2012,"0"
"Health & Personal Care",2010,2011,"0"
"Home Goods & Building Supplies",2021,2022,"0"
"Home Goods & Building Supplies",2020,2021,"0"
"Home Goods & Building Supplies",2019,2020,"0"
"Home Goods & Building Supplies",2018,2019,"0"
"Home Goods & Building Supplies",2017,2018,"0"
"Home Goods & Building Supplies",2016,2017,"0"
"Home Goods & Building Supplies",2015,2016,"0"
"Home Goods & Building Supplies",2014,2015,"0"
"Home Goods & Building Supplies",2013,2014,"0"
"Home Goods & Building Supplies",2012,2013,"0"
"Home Goods & Building Supplies",2011,2012,"0"
"Home Goods & Building Supplies",2010,2011,"0"
"Home Goods & Electronics",2021,2022,"0"
"Home Goods & Electronics",2020,2021,"0"
"Home Goods & Electronics",2019,2020,"0"
"Home Goods & Electronics",2018,2019,"0"
"Home Goods & Electronics",2017,2018,"0"
"Home Goods & Electronics",2016,2017,"0"
"Home Goods & Electronics",2015,2016,"0"
"Home Goods & Electronics",2014,2015,"0"
"Home Goods & Electronics",2013,2014,"0"
"Home Goods & Electronics",2012,2013,"0"
"Home Goods & Electronics",2011,2012,"0"
"Home Goods & Electronics",2010,2011,"0"
"Miscellaneous",2021,2022,"0"
"Miscellaneous",2020,2021,"0"
"Miscellaneous",2019,2020,"0"
"Miscellaneous",2018,2019,"0"
"Miscellaneous",2017,2018,"0"
"Miscellaneous",2016,2017,"0"
"Miscellaneous",2015,2016,"0"
"Miscellaneous",2014,2015,"0"
"Miscellaneous",2013,2014,"0"
"Miscellaneous",2012,2013,"0"
"Miscellaneous",2011,2012,"0"
"Miscellaneous",2010,2011,"0"
"Office Supplies & Gifts",2021,2022,"0"
"Office Supplies & Gifts",2020,2021,"0"
"Office Supplies & Gifts",2019,2020,"0"
"Office Supplies & Gifts",2018,2019,"0"
"Office Supplies & Gifts",2017,2018,"0"
"Office Supplies & Gifts",2016,2017,"0"
"Office Supplies & Gifts",2015,2016,"0"
"Office Supplies & Gifts",2014,2015,"0"
"Office Supplies & Gifts",2013,2014,"0"
"Office Supplies & Gifts",2012,2013,"0"
"Office Supplies & Gifts",2011,2012,"0"
"Office Supplies & Gifts",2010,2011,"0"
"Restaurants & Bars",2021,2022,"0"
"Restaurants & Bars",2020,2021,"0"
"Restaurants & Bars",2019,2020,"0"
"Restaurants & Bars",2018,2019,"0"
"Restaurants & Bars",2017,2018,"0"
"Restaurants & Bars",2016,2017,"0"
"Restaurants & Bars",2015,2016,"0"
"Restaurants & Bars",2014,2015,"0"
"Restaurants & Bars",2013,2014,"0"
"Restaurants & Bars",2012,2013,"0"
"Restaurants & Bars",2011,2012,"0"
"Restaurants & Bars",2010,2011,"0"
"Sports & Recreation",2021,2022,"0"
"Sports & Recreation",2020,2021,"0"
"Sports & Recreation",2019,2020,"0"
"Sports & Recreation",2018,2019,"0"
"Sports & Recreation",2017,2018,"0"
"Sports & Recreation",2016,2017,"0"
"Sports & Recreation",2015,2016,"0"
"Sports & Recreation",2014,2015,"0"
"Sports & Recreation",2013,2014,"0"
"Sports & Recreation",2012,2013,"0"
"Sports & Recreation",2011,2012,"0"
"Sports & Recreation",2010,2011,"0"
